,Nama_Produk,Lokasi,Tahun,Price,Wilayah,Merek,Model,Periode,Usia,Harga_Terkoreksi,Merek_encoded,Model_encoded
107,Toyota Yaris 2018 S TRD 7 Airbag Facelift AT Matic Model 2019,"Pasar Minggu, Jakarta Selatan",2018,178000000,Jakarta Selatan,Toyota,Yaris,2018-2022,7,85136848,10,169
108,BMW X7 Xdrive40i XLine 2024 Hitam New Profile Id8 iDrive-8 Nik 2023,"Kebayoran Baru, Jakarta Selatan",2024,1775000000,Jakarta Selatan,BMW,X7,2023-2027,1,1597500000,0,163
109,Pajak Panjang - Daihatsu Ayla 1.0 X Bensin-AT 2013 Silver (PZV),"Jatinegara, Jakarta Timur",2013,78000000,Jakarta Timur,Daihatsu,Ayla,2013-2017,12,22029504,1,25
110,Pajak Panjang - Wuling Almaz 1.5 Smart E 5-Seater-AT 2019 Abu (BIZ),"Jatinegara, Jakarta Timur",2019,181000000,Jakarta Timur,Wuling,Almaz,2018-2022,6,96190821,11,20
111,Pajak Panjang - Honda Brio 1.2 RS Bensin-AT 2017 Merah (SOW),"Jatinegara, Jakarta Timur",2017,130000000,Jakarta Timur,Honda,Brio,2013-2017,8,55960737,2,31
112,Pajak Panjang - Toyota Agya 1.2 G TRD Sportivo Bensin-MT 2018 (FBB),"Pulo Gadung, Jakarta Timur",2018,106000000,Jakarta Timur,Toyota,Agya,2018-2022,7,50699471,10,17
113,KM Low Daihatsu Terios TX Adventure 2011 at #BJM1#,"Gading Serpong, Tangerang Kota",2011,108000000,Tangerang Kota,Daihatsu,Terios,2008-2012,14,24706936,1,145
114,[Mobil Baru] Toyota Zenix Q HV Modelista CVT TSS,"Mampang Prapatan, Jakarta Selatan",2025,625300000,Jakarta Selatan,Toyota,Zenix,2023-2027,0,625300000,10,172
115,[PANORAMIC] Hyundai Palisade 2.2L Signature AWD AT Black 2021/2022,"Cilandak, Jakarta Selatan",2021,675000000,Jakarta Selatan,Hyundai,Palisade,2018-2022,4,442867500,3,120
116,Suzuki Baleno HB 2010 AT Matic Facelift Model 2021 Non Yaris Jazz,"Pasar Minggu, Jakarta Selatan",2020,158000000,Jakarta Selatan,Suzuki,Baleno,2018-2022,5,93297420,9,26
117,"2012 Dijual Toyota Fortuner 2.5 G 
VNT Turbo Diesel Solar","Cilandak, Jakarta Selatan",2012,220000000,Jakarta Selatan,Toyota,Fortuner,2008-2012,13,55921048,10,74
118,Dijual Mazda CX-5 Grand Touring 2018 low km servis record,"Gading Serpong, Tangerang Kota",2018,294000000,Tangerang Kota,Mazda,Cx-5,2018-2022,7,140619289,5,52
119,Toyota AGYA GR SPORT 1.2  AT 2022 Hitam Premium Condition - B1792DFV,"Kebayoran Lama, Jakarta Selatan",2022,139000000,Jakarta Selatan,Toyota,Agya,2018-2022,3,101331000,10,17
120,DP Rendah - Nissan Serena 2.0 Highway Star Panoramic-AT 2016 (SKN),"Pulo Gadung, Jakarta Timur",2016,170000000,Jakarta Timur,Nissan,Serena,2013-2017,9,65861483,8,130
121,[OLXMOBBI] Low Angs Toyota Sienta 1.5 V Bensin-MT 2017 TVV,"Pulo Gadung, Jakarta Timur",2017,137000000,Jakarta Timur,Toyota,Sienta,2013-2017,8,58974008,10,131
122,[OLXMOBBI] Low Angs Honda Civic 1.5 ES Bensin-AT 2016 KAC,"Pulo Gadung, Jakarta Timur",2016,285000000,Jakarta Timur,Honda,Civic,2013-2017,9,110414839,2,40
123,[OLXMOBBI] Low Angs Toyota Yaris 1.5 E Bensin-AT 2016 ZKC,"Pulo Gadung, Jakarta Timur",2016,144000000,Jakarta Timur,Toyota,Yaris,2013-2017,9,55788550,10,169
124,Mercedes Benz ML400 AMG Spec 2014 Black On Beige Full Original Perfect,"Mampang Prapatan, Jakarta Selatan",2014,325000000,Jakarta Selatan,Mercedes,Benz,2013-2017,11,101988444,6,27
125,Toyota Rush TRD AT 2020,"Kebayoran Lama, Jakarta Selatan",2020,215000000,Jakarta Selatan,Toyota,Rush,2018-2022,5,126955350,10,124
126,[ PAJAK PANJANG ] Toyota Fortuner VRZ 2.4 Diesel AT Putih 2018 2019,"Kebayoran Baru, Jakarta Selatan",2018,376000000,Jakarta Selatan,Toyota,Fortuner,2018-2022,7,179839634,10,74
127,Honda Jazz 2018 Bensin,"Kebayoran Lama, Jakarta Selatan",2018,178000000,Jakarta Selatan,Honda,Jazz,2018-2022,7,85136848,2,93
128,Daihatsu XENIA R DELUXE 1.5  MT 2021 Hitam Premium B2438SRW,"Kebayoran Lama, Jakarta Selatan",2021,161000000,Jakarta Selatan,Daihatsu,Xenia,2018-2022,4,105632100,1,164
129,[ SUNROOF ] Mazda CX5 CX-5 CX 5 Elite Bose Camera360 Merah 2022 2023,"Kebayoran Baru, Jakarta Selatan",2022,399000000,Jakarta Selatan,Mazda,Cx5,2018-2022,3,290871000,5,57
130,Toyota Alphard 2011 Bensin,"Kebayoran Lama, Jakarta Selatan",2011,260000000,Jakarta Selatan,Toyota,Alphard,2008-2012,14,59479660,10,21
131,Hyundai Creta Prime 2022,"Pancoran, Jakarta Selatan",2022,283000000,Jakarta Selatan,Hyundai,Creta,2018-2022,3,206307000,3,48
132,[OLXMOBBI] Low Angs Toyota Agya 1.0 TRD Sportivo Bensin-AT 2016 UII,"Pulo Gadung, Jakarta Timur",2016,103000000,Jakarta Timur,Toyota,Agya,2013-2017,9,39904310,10,17
133,[OLXMOBBI] Low Angs Suzuki Swift 1.4 GX Bensin-MT 2013 TBF,"Pulo Gadung, Jakarta Timur",2013,89000000,Jakarta Timur,Suzuki,Swift,2013-2017,12,25136229,9,143
